N,P,K,temperature,humidity,ph,rainfall,crop
90.7,33.2,31.3,26.61,55.14,6.86,112.53,Coffee
18.2,65.1,18.6,21.07,18.38,5.58,132.81,Kidneybeans
88.5,20.3,31.6,27.83,68.32,6.6,181.56,Coffee
93.3,79.9,48.4,27.85,83.61,5.58,92.18,Banana
30.8,71.4,77.4,17.57,19.51,6.2,75.18,Chickpea
85.8,17.1,29.2,26.98,52.83,6.16,167.91,Coffee
35.8,62.4,22.3,19.78,19.73,5.7,86.99,Kidneybeans
99.1,22.8,33.9,27.47,56.72,6.74,193.42,Coffee
110.0,70.3,53.7,27.23,78.43,5.64,103.18,Banana
110.3,27.1,26.7,26.99,64.4,6.1,151.74,Coffee
87.9,52.6,38.6,22.06,88.09,6.81,284.05,Rice
85.5,44.9,17.7,26.86,63.19,6.87,71.5,Maize
99.8,36.4,22.0,26.85,59.78,5.97,66.07,Maize
114.0,20.7,31.4,24.57,69.16,6.04,162.18,Coffee
105.7,71.9,46.9,29.2,82.25,6.39,93.53,Banana
101.8,74.8,45.6,27.95,84.89,5.67,91.4,Banana
104.4,33.3,26.6,26.76,61.37,6.33,152.7,Coffee
92.2,82.8,54.7,28.47,75.71,5.69,113.14,Banana
16.0,76.7,21.2,20.07,21.75,5.85,112.82,Kidneybeans
68.7,58.7,22.9,18.8,63.35,6.85,107.24,Maize
105.3,39.0,24.5,25.52,84.07,7.98,70.42,Cotton
105.5,58.8,18.3,24.65,82.52,7.62,107.29,Cotton
88.0,31.1,33.5,24.45,69.05,6.06,123.49,Coffee
79.5,35.8,15.6,26.16,57.78,6.44,80.55,Maize
119.3,44.6,23.4,22.58,80.06,6.12,63.56,Cotton
111.5,89.7,52.0,27.95,79.5,6.36,118.71,Banana
112.8,39.1,22.8,22.49,81.35,6.25,63.53,Cotton
85.1,18.6,29.9,23.41,53.92,7.13,197.88,Coffee
20.7,76.3,24.3,15.86,20.7,5.63,138.36,Kidneybeans
110.6,72.4,54.2,27.84,78.64,6.26,97.72,Banana
127.3,58.3,20.8,22.5,80.82,7.53,80.32,Cotton
105.0,16.5,26.1,23.25,55.15,6.16,133.4,Coffee
81.6,55.2,44.0,22.23,81.1,6.23,231.25,Rice
69.7,53.1,43.6,25.81,83.97,6.67,204.6,Rice
46.4,69.3,80.2,18.29,15.9,7.16,83.22,Chickpea
95.8,50.9,21.1,18.6,65.37,5.98,96.87,Maize
103.9,14.2,53.1,25.57,81.17,6.13,50.74,Watermelon
108.7,80.3,53.6,26.26,84.81,6.11,113.81,Banana
82.2,53.0,17.3,26.97,74.5,6.58,69.98,Maize
89.5,58.4,44.3,23.16,81.13,6.98,280.67,Rice
112.8,70.4,50.6,26.9,80.07,6.06,99.4,Banana
86.1,22.3,28.7,23.76,65.97,6.85,127.13,Coffee
130.3,46.4,19.1,25.74,77.51,6.24,89.23,Cotton
70.8,54.9,18.1,22.1,55.23,5.89,79.62,Maize
47.2,61.9,84.8,17.42,15.21,6.43,86.82,Chickpea
30.2,74.0,23.4,22.23,23.77,5.71,103.96,Kidneybeans
31.6,63.5,80.4,17.46,17.32,7.47,82.86,Chickpea
81.9,21.7,53.6,24.49,88.12,6.85,58.29,Watermelon
114.2,15.9,46.9,24.57,87.69,6.27,55.34,Watermelon
134.8,39.5,24.5,22.88,78.26,7.51,79.69,Cotton
97.0,82.0,50.5,28.16,77.57,6.45,95.09,Banana
19.4,73.5,17.2,16.96,23.24,5.6,83.69,Kidneybeans
20.0,67.8,75.5,17.83,18.24,6.08,85.18,Chickpea
87.8,45.2,36.7,21.1,82.5,6.55,265.75,Rice
19.2,63.9,23.9,21.75,23.45,5.8,113.74,Kidneybeans
74.0,36.4,24.7,25.95,73.56,6.99,68.69,Maize
99.3,22.6,45.7,24.58,82.15,6.74,43.78,Watermelon
98.8,53.7,16.3,24.82,55.49,5.83,76.18,Maize
97.2,55.2,41.3,26.1,88.04,6.19,287.11,Rice
27.2,74.8,19.9,19.35,23.03,5.64,137.38,Kidneybeans
94.2,52.6,39.7,20.68,84.92,6.47,200.78,Rice
87.2,36.8,15.3,20.32,64.25,6.84,96.36,Maize
35.1,66.6,17.1,15.76,20.8,5.69,135.68,Kidneybeans
19.6,76.5,17.9,23.34,23.82,5.73,72.87,Kidneybeans
118.7,27.9,46.7,24.36,80.85,6.91,43.87,Watermelon
107.9,19.0,48.9,25.26,85.62,6.01,41.57,Watermelon
85.4,34.5,34.6,23.82,55.99,6.12,134.45,Coffee
88.2,13.0,49.7,26.83,89.32,6.21,47.16,Watermelon
34.9,65.4,21.9,17.38,23.63,5.75,89.21,Kidneybeans
111.2,82.3,47.6,29.42,80.77,5.72,98.07,Banana
92.1,46.5,19.8,19.2,56.61,6.67,84.82,Maize
84.5,28.3,46.8,24.76,84.07,6.38,55.89,Watermelon
97.6,15.8,28.6,27.13,64.03,6.55,114.96,Coffee
115.3,6.9,52.1,26.76,82.71,6.37,51.38,Watermelon
63.8,35.6,21.4,23.46,65.93,6.08,79.55,Maize
97.0,56.9,37.6,24.62,88.17,6.56,243.56,Rice
71.9,58.5,17.6,21.87,72.45,6.81,69.31,Maize
111.2,81.3,46.0,28.54,75.31,6.37,94.16,Banana
48.5,62.4,75.9,18.8,17.74,7.78,68.02,Chickpea
95.8,90.4,53.0,27.43,77.98,6.14,98.64,Banana
32.2,56.7,78.5,17.33,18.85,8.65,62.17,Chickpea
74.2,36.7,20.2,18.61,71.01,6.08,87.0,Maize
63.9,50.4,44.9,20.98,85.18,6.88,268.89,Rice
111.9,54.4,18.9,22.56,75.11,7.09,108.79,Cotton
136.4,52.9,20.8,25.19,83.64,6.91,83.76,Cotton
92.6,74.6,52.6,25.11,83.17,5.51,109.71,Banana
45.3,62.8,82.9,19.68,16.6,8.54,71.32,Chickpea
37.1,69.3,15.8,18.49,22.82,5.86,78.31,Kidneybeans
100.5,25.5,30.6,23.85,53.95,6.38,163.41,Coffee
101.0,85.3,52.0,26.71,76.08,5.57,107.67,Banana
134.4,39.2,23.5,22.05,80.12,7.54,106.74,Cotton
70.6,41.1,44.7,22.75,88.92,6.63,275.38,Rice
94.6,15.8,51.2,24.22,85.04,6.18,51.48,Watermelon
106.5,79.0,46.3,27.95,80.25,5.7,103.56,Banana
71.1,49.8,24.1,19.9,67.46,6.56,96.66,Maize
109.0,92.9,47.1,28.33,75.79,6.1,94.92,Banana
96.6,80.7,51.5,28.64,75.01,6.44,94.94,Banana
92.3,73.4,51.4,26.7,82.08,6.06,97.68,Banana
26.7,65.4,16.0,16.51,18.88,5.89,128.34,Kidneybeans
115.5,13.2,48.1,25.54,89.41,6.05,47.04,Watermelon
100.5,28.0,54.0,24.47,83.67,6.62,43.19,Watermelon
105.6,88.6,50.1,27.11,78.98,5.53,100.07,Banana
96.3,77.8,46.8,29.51,78.97,5.75,103.45,Banana
90.7,21.3,26.3,26.28,50.8,6.72,188.27,Coffee
28.9,75.6,15.2,22.37,18.24,5.86,149.28,Kidneybeans
95.5,58.9,23.6,25.29,68.1,6.46,64.35,Maize
119.3,59.7,22.5,22.99,80.38,7.98,102.88,Cotton
102.7,82.9,46.7,28.31,83.53,5.76,104.75,Banana
87.3,36.9,23.5,22.46,64.61,6.51,101.23,Maize
119.2,34.7,31.9,24.22,65.97,6.13,180.26,Coffee
114.1,57.7,20.7,25.05,83.12,6.68,81.68,Cotton
112.1,11.2,54.0,26.73,89.43,6.52,53.54,Watermelon
112.1,24.3,28.6,23.54,67.52,6.94,125.13,Coffee
100.0,34.6,26.0,24.52,62.76,6.42,193.55,Coffee
96.5,23.8,51.9,26.97,82.78,6.5,46.59,Watermelon
119.3,78.3,51.0,25.45,81.06,5.59,118.78,Banana
76.9,53.4,17.4,18.99,62.09,6.14,74.82,Maize
96.7,16.2,51.0,24.22,82.27,6.93,58.17,Watermelon
100.2,26.6,47.4,24.24,83.56,6.75,51.01,Watermelon
25.5,69.2,22.3,20.17,22.0,5.81,137.6,Kidneybeans
88.9,53.0,41.4,24.86,85.43,6.25,221.48,Rice
83.8,47.4,24.9,19.23,68.9,6.29,81.41,Maize
115.8,25.2,45.0,24.96,84.22,6.23,43.99,Watermelon
94.7,30.4,33.1,25.0,68.94,6.49,179.47,Coffee
67.2,36.7,42.4,24.02,88.42,6.14,275.43,Rice
35.3,64.2,84.3,19.48,18.18,7.97,73.85,Chickpea
36.3,72.7,76.7,19.34,17.5,8.66,61.27,Chickpea
106.5,39.6,17.0,23.55,75.51,6.8,85.59,Cotton
28.7,63.5,18.0,20.97,23.79,5.52,140.13,Kidneybeans
95.9,87.3,48.9,27.08,79.69,5.87,93.02,Banana
100.6,24.4,50.6,25.66,81.15,6.13,50.59,Watermelon
116.6,45.6,22.9,22.78,83.2,7.3,80.95,Cotton
67.1,47.5,39.2,26.4,83.62,6.58,255.87,Rice
60.7,37.4,41.8,20.5,83.19,6.84,182.79,Rice
76.1,47.0,21.3,25.86,74.68,6.72,80.89,Maize
26.9,70.9,77.2,17.97,19.09,8.01,62.86,Chickpea
116.0,88.7,53.6,27.47,76.31,6.2,96.18,Banana
87.3,47.4,21.2,25.82,66.41,5.84,106.55,Maize
100.8,81.9,48.6,28.21,84.01,5.66,101.44,Banana
133.8,39.6,24.6,23.51,78.39,6.12,84.31,Cotton
116.5,83.2,50.2,27.89,82.49,6.46,92.21,Banana
67.0,52.3,17.0,22.82,56.93,6.34,97.81,Maize
63.5,39.9,35.5,22.28,83.89,6.27,279.45,Rice
81.5,49.8,20.8,18.82,72.55,6.12,66.48,Maize
94.0,42.9,36.7,23.9,89.36,6.7,248.41,Rice
16.4,69.8,24.3,15.95,22.59,5.66,118.97,Kidneybeans
127.2,58.3,25.0,24.88,77.87,7.76,62.46,Cotton
91.4,57.3,24.6,25.08,61.31,6.63,81.88,Maize
35.2,79.2,79.2,19.95,18.01,7.74,64.98,Chickpea
82.6,26.0,30.9,26.26,55.11,6.44,185.93,Coffee
82.0,11.7,51.5,25.6,89.44,6.4,53.88,Watermelon
86.2,21.0,27.5,24.86,55.09,6.59,146.67,Coffee
24.9,70.6,16.6,20.15,22.83,5.8,73.85,Kidneybeans
124.2,54.1,20.2,22.91,81.67,6.16,82.09,Cotton
110.8,71.0,53.4,27.24,81.37,5.72,110.31,Banana
98.3,9.3,47.7,25.53,81.47,6.61,51.31,Watermelon
113.2,81.8,51.2,27.28,83.94,6.0,115.25,Banana
92.5,51.4,16.3,21.04,73.56,6.07,78.61,Maize
126.0,58.9,16.5,23.91,81.02,7.16,80.07,Cotton
90.9,35.7,15.7,22.18,73.18,6.45,84.89,Maize
102.6,20.4,45.4,25.21,86.49,6.7,52.76,Watermelon
32.8,55.9,76.3,19.3,14.0,7.11,75.68,Chickpea
95.0,48.2,24.4,25.19,74.96,6.22,98.36,Maize
109.1,10.0,48.7,25.51,87.25,6.11,48.13,Watermelon
20.5,67.0,18.7,15.62,20.22,5.69,125.05,Kidneybeans
115.7,23.9,48.3,26.23,81.52,6.13,46.91,Watermelon
99.3,15.4,54.8,24.6,82.15,6.29,43.46,Watermelon
93.9,27.4,30.4,23.63,55.79,6.29,129.22,Coffee
106.5,46.8,20.5,24.28,77.1,7.48,61.26,Cotton
103.2,71.6,53.3,25.63,84.03,6.36,103.94,Banana
93.5,76.8,47.1,27.28,84.08,5.6,111.61,Banana
25.4,62.3,21.1,23.45,21.97,5.53,91.92,Kidneybeans
114.2,51.7,19.8,23.67,78.58,7.19,88.78,Cotton
83.4,19.0,50.0,24.43,84.42,6.33,50.44,Watermelon
94.9,5.6,47.2,26.34,82.01,6.08,49.49,Watermelon
22.8,73.1,17.3,15.13,22.59,5.75,128.61,Kidneybeans
101.5,28.5,31.8,26.14,55.32,6.05,151.0,Coffee
119.0,57.4,20.3,24.83,77.52,6.89,66.17,Cotton
112.1,86.6,46.1,28.6,80.0,6.39,117.6,Banana
93.2,35.9,41.0,21.61,81.21,6.08,263.55,Rice
97.0,59.3,44.4,23.32,88.62,6.84,218.29,Rice
98.9,88.3,53.7,25.96,75.98,6.4,100.5,Banana
86.4,19.1,54.4,24.01,82.38,6.94,43.42,Watermelon
48.9,64.6,75.4,17.09,16.33,6.36,60.7,Chickpea
37.0,74.3,80.0,17.04,14.05,6.94,87.79,Chickpea
109.1,29.5,46.6,24.68,82.12,6.79,43.74,Watermelon
102.2,18.2,51.6,24.7,88.64,6.31,53.88,Watermelon
100.7,70.2,53.4,25.16,84.4,6.39,106.07,Banana
104.4,41.2,18.2,25.24,83.75,6.6,102.93,Cotton
25.7,70.8,22.0,21.32,19.03,5.7,97.08,Kidneybeans
62.1,48.5,22.1,25.84,69.28,6.76,76.97,Maize
139.9,46.3,18.5,23.6,76.15,7.77,80.74,Cotton
81.7,56.8,42.3,25.65,86.59,6.69,281.9,Rice
102.0,23.3,33.8,24.02,66.53,6.67,114.91,Coffee
87.2,19.5,54.6,25.51,80.83,6.62,46.8,Watermelon
83.7,39.1,18.9,26.72,60.16,6.59,76.26,Maize
88.4,17.3,34.7,23.11,66.05,6.95,136.75,Coffee
89.4,60.0,24.3,23.78,63.42,6.56,99.28,Maize
79.4,39.1,24.5,25.65,68.38,6.35,80.59,Maize
99.6,88.6,54.7,27.19,83.61,6.07,94.72,Banana
43.8,77.7,84.4,19.88,17.13,8.73,82.72,Chickpea
68.2,39.8,35.4,23.3,85.65,6.07,273.06,Rice
81.2,58.4,15.4,19.1,64.04,6.92,75.81,Maize
89.5,19.2,32.4,24.6,60.12,6.2,196.38,Coffee
72.1,37.5,21.9,18.56,65.19,7.0,100.7,Maize
117.2,82.9,46.5,29.61,82.57,6.23,111.28,Banana
34.8,65.1,80.3,18.79,14.06,7.25,88.9,Chickpea
101.5,26.5,31.5,23.08,69.21,6.05,122.88,Coffee
70.9,45.3,16.2,19.63,68.62,6.02,86.26,Maize
114.2,54.5,20.6,23.04,81.95,7.13,99.81,Cotton
94.6,50.0,42.1,20.14,89.7,6.83,205.48,Rice
67.3,57.7,40.8,22.81,84.62,6.95,198.4,Rice
113.7,52.1,15.3,24.76,78.16,6.11,90.49,Cotton
92.8,8.4,48.0,25.72,84.42,6.35,54.93,Watermelon
113.4,76.3,53.3,28.52,84.46,5.91,109.86,Banana
20.5,69.6,77.5,18.35,19.75,7.06,85.19,Chickpea
112.5,56.5,16.3,24.82,82.42,7.36,72.62,Cotton
101.9,88.6,50.8,26.94,76.71,5.73,107.27,Banana
23.4,72.6,80.4,17.29,15.45,5.94,74.06,Chickpea
117.1,50.4,15.8,22.35,76.72,7.04,70.7,Cotton
129.9,47.1,17.2,25.87,82.15,7.91,81.36,Cotton
97.3,25.0,52.4,25.28,83.34,6.32,55.48,Watermelon
101.8,39.6,20.4,24.58,75.46,7.89,102.11,Cotton
112.6,44.8,17.4,22.39,76.79,7.6,93.88,Cotton
98.7,84.4,45.7,25.96,79.07,6.44,101.32,Banana
112.1,77.5,49.6,28.0,76.71,6.24,99.08,Banana
81.0,28.9,32.3,27.18,69.49,7.17,115.87,Coffee
116.3,48.0,24.0,22.79,75.23,7.72,88.86,Cotton
105.9,5.5,51.5,25.86,83.1,6.09,41.82,Watermelon
31.9,68.6,22.3,22.42,18.88,5.83,108.63,Kidneybeans
103.9,52.7,18.5,22.03,79.03,6.47,100.94,Cotton
29.4,77.3,17.9,19.21,21.72,5.66,98.47,Kidneybeans
15.6,69.0,17.4,15.45,22.35,5.54,114.75,Kidneybeans
114.8,82.1,50.4,26.52,76.82,5.59,111.42,Banana
25.0,66.5,15.1,22.44,22.81,5.54,111.92,Kidneybeans
127.7,51.5,15.4,23.47,84.79,6.84,85.1,Cotton
111.4,86.5,51.2,26.41,78.78,5.6,111.57,Banana
16.0,73.3,18.2,23.08,23.33,5.63,141.09,Kidneybeans
66.1,41.1,36.6,21.31,82.85,6.17,287.61,Rice
117.8,8.3,52.7,24.79,89.34,6.72,55.08,Watermelon
37.4,61.7,18.9,15.9,18.1,5.76,114.22,Kidneybeans
108.2,54.9,22.4,22.26,78.87,6.57,75.22,Cotton
85.1,23.6,26.6,26.5,65.18,6.13,155.55,Coffee
106.0,32.3,33.9,27.6,51.9,6.65,176.65,Coffee
87.7,14.7,49.8,25.06,83.21,6.96,52.83,Watermelon
86.9,46.1,23.7,19.59,68.85,6.81,107.23,Maize
38.7,74.5,80.8,17.44,18.87,7.74,71.64,Chickpea
91.0,27.8,28.4,27.99,55.27,6.33,193.76,Coffee
96.8,30.5,28.4,25.82,54.1,6.89,114.71,Coffee
26.3,56.2,83.4,19.94,18.76,8.38,67.26,Chickpea
101.8,28.9,30.2,27.95,62.23,6.45,179.49,Coffee
107.8,93.4,51.8,27.07,81.9,5.84,98.32,Banana
85.2,24.2,54.3,26.84,83.69,6.14,50.37,Watermelon
129.4,50.3,19.9,22.53,77.61,6.84,89.96,Cotton
122.1,49.9,23.7,24.31,78.45,7.61,87.01,Cotton
110.9,6.9,53.3,25.28,85.96,6.09,46.75,Watermelon
120.7,50.4,17.4,23.93,79.29,6.15,65.31,Cotton
107.5,48.9,17.9,23.67,78.77,7.75,105.26,Cotton
82.9,42.0,42.7,21.31,83.24,6.43,240.91,Rice
101.9,16.8,32.6,25.91,53.73,6.23,126.58,Coffee
47.6,78.8,80.8,18.07,18.73,6.63,76.92,Chickpea
36.3,78.8,15.9,18.47,18.43,5.58,80.64,Kidneybeans
115.5,75.3,51.7,27.71,83.33,5.63,93.89,Banana
114.3,83.4,47.8,25.31,76.62,6.4,110.58,Banana
80.4,7.1,53.1,26.31,89.15,6.85,53.66,Watermelon
96.4,29.1,27.2,24.83,57.82,7.17,195.92,Coffee
66.7,39.2,15.4,24.63,68.28,6.37,102.21,Maize
64.7,49.4,37.7,23.88,86.51,6.83,204.77,Rice
118.4,74.9,53.8,28.52,79.54,6.04,115.49,Banana
95.6,43.4,38.8,20.66,85.78,6.04,235.87,Rice
102.9,27.7,46.2,25.6,88.79,6.41,49.64,Watermelon
95.2,51.3,20.3,20.92,61.66,6.6,109.71,Maize
48.7,67.5,79.3,18.37,15.25,6.97,71.09,Chickpea
73.9,57.5,15.2,23.97,74.27,6.47,106.84,Maize
44.2,79.6,82.5,18.18,17.54,7.82,62.35,Chickpea
36.3,79.1,75.8,18.1,15.35,6.47,64.22,Chickpea
38.0,73.0,16.0,18.62,22.37,5.81,70.64,Kidneybeans
107.4,92.6,48.2,28.35,76.88,6.12,100.09,Banana
107.2,41.7,17.0,22.99,78.06,7.11,89.4,Cotton
21.0,78.2,19.7,19.2,22.56,5.56,103.85,Kidneybeans
75.1,37.1,42.8,23.91,84.24,6.91,193.34,Rice
61.0,37.7,35.3,24.45,83.14,6.51,288.91,Rice
109.5,72.9,50.4,27.19,77.68,6.1,116.14,Banana
39.5,73.0,23.0,21.44,21.56,5.52,100.93,Kidneybeans
21.6,74.2,79.2,19.47,19.1,6.51,79.72,Chickpea
92.6,37.0,23.9,22.93,71.35,6.34,92.18,Maize
117.9,16.8,26.6,27.8,60.75,6.02,133.19,Coffee
98.2,35.5,17.0,18.07,67.95,6.88,72.17,Maize
115.1,25.6,29.7,23.53,62.99,7.04,184.54,Coffee
96.7,82.5,53.4,28.51,82.89,5.85,102.14,Banana
100.5,24.7,31.3,27.73,61.6,6.65,114.53,Coffee
24.3,55.3,79.2,17.89,16.92,7.57,61.31,Chickpea
124.0,39.2,18.8,24.47,84.7,7.46,106.13,Cotton
91.5,40.0,17.6,19.48,61.6,6.71,85.97,Maize
96.3,9.8,50.2,26.72,88.04,6.07,53.85,Watermelon
28.4,67.1,18.5,22.46,22.74,5.62,142.24,Kidneybeans
90.6,32.9,26.0,26.28,68.14,6.2,197.15,Coffee
90.4,39.0,19.6,18.08,59.93,6.67,109.59,Maize
85.1,26.1,48.6,25.98,84.71,6.2,52.03,Watermelon
92.2,49.6,23.7,19.85,57.24,6.12,62.85,Maize
76.3,44.3,17.6,24.51,64.92,5.9,71.01,Maize
113.3,42.9,16.1,23.47,75.99,7.53,108.31,Cotton
24.9,66.9,82.2,17.74,17.84,7.83,64.88,Chickpea
106.6,57.9,18.3,23.49,82.6,6.68,107.6,Cotton
114.1,71.1,54.9,25.65,82.96,5.89,104.77,Banana
36.7,78.5,19.2,15.46,18.24,5.73,95.36,Kidneybeans
88.8,16.1,51.2,26.31,81.04,6.96,57.8,Watermelon
99.0,29.8,52.7,24.63,85.01,6.23,48.19,Watermelon
118.0,83.6,50.3,25.71,75.01,6.31,92.63,Banana
61.2,42.7,22.0,19.82,68.47,6.96,64.7,Maize
85.8,39.4,44.4,26.68,89.15,6.37,181.85,Rice
103.1,34.7,27.4,26.41,64.32,6.73,117.97,Coffee
21.8,69.8,15.8,19.14,19.84,5.83,65.13,Kidneybeans
119.3,91.8,48.3,27.94,83.47,5.94,90.54,Banana
69.7,41.7,38.8,20.14,83.22,6.21,219.3,Rice
87.8,31.5,30.6,26.81,64.27,6.25,161.19,Coffee
19.1,64.7,15.2,22.51,23.85,5.55,80.83,Kidneybeans
107.1,16.3,31.0,26.7,54.22,7.01,112.73,Coffee
79.5,50.2,22.6,19.57,65.05,6.28,67.32,Maize
88.5,54.0,40.6,25.4,84.94,6.52,231.3,Rice
47.5,62.0,83.6,17.88,19.46,8.09,84.15,Chickpea
134.0,39.9,16.3,25.85,76.08,6.96,89.28,Cotton
28.8,74.3,80.2,18.04,16.23,5.9,68.99,Chickpea
73.4,53.6,16.6,25.36,71.64,6.41,60.32,Maize
88.2,27.5,28.6,27.98,59.6,6.58,160.93,Coffee
98.5,41.3,40.0,22.11,82.85,6.04,253.15,Rice
135.6,49.9,23.1,23.72,82.5,7.83,88.61,Cotton
101.1,82.2,48.1,25.71,77.14,5.61,110.49,Banana
103.2,33.6,30.0,27.21,58.92,6.85,175.87,Coffee
22.7,70.9,19.2,16.44,19.03,5.67,128.16,Kidneybeans
116.2,79.9,48.4,26.04,78.78,5.82,110.32,Banana
136.4,39.8,23.2,24.18,75.78,7.91,72.35,Cotton
91.8,19.3,52.5,25.14,83.03,6.46,56.36,Watermelon
68.8,59.4,18.4,19.64,70.79,6.59,84.91,Maize
112.4,9.9,47.1,26.03,84.05,6.93,41.78,Watermelon
109.6,44.7,15.8,22.59,77.98,6.18,105.54,Cotton
22.8,70.8,23.4,23.91,23.34,5.65,77.56,Kidneybeans
90.3,74.2,50.8,28.57,84.17,6.21,110.15,Banana
35.1,75.5,20.5,15.6,22.6,5.73,130.38,Kidneybeans
98.4,25.0,25.7,26.42,60.06,6.92,153.68,Coffee
123.9,51.6,19.2,24.8,79.11,7.01,60.37,Cotton
66.0,43.1,22.4,22.28,62.52,6.27,82.97,Maize
80.1,36.3,37.8,26.36,82.4,6.14,238.73,Rice
32.3,64.6,16.2,16.49,18.01,5.79,125.92,Kidneybeans
82.4,50.1,21.8,25.24,60.4,6.79,84.91,Maize
80.6,14.3,48.5,25.63,80.73,6.79,44.36,Watermelon
35.6,71.9,78.1,19.32,18.64,7.41,89.28,Chickpea
82.3,26.8,33.4,23.09,50.98,6.69,183.75,Coffee
22.2,65.2,78.1,19.03,17.63,6.96,66.54,Chickpea
80.4,28.0,30.1,25.23,69.34,6.69,187.71,Coffee
83.6,41.7,41.2,22.87,85.52,6.44,215.34,Rice
114.1,19.0,33.7,24.76,64.45,6.38,191.53,Coffee
95.9,70.2,51.3,26.58,84.73,5.69,100.37,Banana
87.6,36.0,43.0,24.4,80.82,6.87,290.5,Rice
35.2,76.9,79.9,19.11,19.96,6.28,68.24,Chickpea
25.5,60.4,22.9,15.62,20.85,5.72,116.56,Kidneybeans
99.9,47.6,41.0,20.47,87.5,6.21,287.77,Rice
111.6,5.8,54.7,25.58,83.03,6.36,41.33,Watermelon
98.3,86.1,51.9,29.35,78.42,6.27,106.84,Banana
116.4,80.3,50.4,25.25,75.02,5.74,110.42,Banana
96.7,32.1,33.6,23.5,51.81,6.32,188.73,Coffee
106.5,92.2,46.0,29.11,77.1,5.89,99.5,Banana
